ImageNumber,ObjectNumber,Distance_Centroid_Cells,Distance_Centroid_Nuclei,Parent_Cells,Parent_Nuclei
1,217,53.83988786407735,52.066326872742536,3,3
1,218,41.19638614713428,23.42448806089702,3,3
1,219,78.08579756527912,66.05329506885732,3,3
1,220,65.61244193469263,83.59200405981724,4,4
1,221,59.38660701616271,80.49226652753903,4,4
1,222,31.33546433999975,18.973827949478636,3,3
1,223,29.34974199115739,8.268655975727084,3,3
1,224,39.030992628128566,21.075951503445893,3,3
1,225,57.14982076274994,43.18160277370668,3,3
1,226,48.65034195165549,75.64693524517153,4,4
1,227,28.081894351621816,72.17239774424391,4,4
1,228,34.40453788975882,27.209580881364047,3,3
1,229,55.5845864730444,77.20328330421776,4,4
1,230,53.191377139914465,76.37942206068078,4,4
1,231,29.56968771832694,19.503710114105246,3,3
1,232,28.462072586820927,7.25318877361707,3,3
1,233,39.51583109254364,36.51939984779465,3,3
1,234,31.3800854454155,24.783265908801084,3,3
1,235,26.4290511127368,7.229863668545118,3,3
1,236,30.00836302247398,9.229994026347415,3,3
1,237,40.73565719703341,25.108993087084468,3,3
1,238,79.20113405118269,68.3660453315154,3,3
1,239,96.43250998670234,nan,1,0
1,240,25.472999662192134,10.195399366662201,3,3
1,241,43.87876027348822,29.575710129505573,3,3
1,242,54.411408925960814,41.45910498818452,3,3
1,243,75.64705291639385,64.75779400206248,3,3
1,244,44.42758587963218,44.44655387317021,3,3
1,245,29.25211528788932,10.221155353704324,3,3
1,246,31.43498003023689,14.19502281653729,3,3
1,247,35.88409935103666,19.65315899947846,3,3
1,248,40.39873672488871,26.271717335503542,3,3
1,249,69.36020244580429,58.5726361266983,3,3
1,250,72.82537155059585,61.8980553139707,3,3
1,251,65.22652642637203,79.67272544055876,4,4
1,252,69.70979459163816,72.41749474766517,3,3
1,253,27.35373027464791,7.850052997045713,3,3
1,254,53.251974581674475,73.211087173917,4,4
1,255,42.29536143190308,68.58314272944742,4,4
1,256,37.28775822605178,65.9929682620442,4,4
1,257,53.20179289920786,55.1454267102648,3,3
1,258,40.1882102753322,39.67881139525039,3,3
1,259,31.26529287743651,28.98391885009944,3,3
1,260,25.087727679806623,4.20112493419245,3,3
1,261,48.52618356711028,36.351634890681474,3,3
1,262,23.47663878539718,15.28304131187038,3,3
1,263,21.15547712904323,8.033583262101722,3,3
1,264,32.46703941791027,17.73470436984615,3,3
1,265,61.416340873535155,51.02913639123984,3,3
1,266,61.62314885138401,76.35327177352758,4,4
1,267,24.15473370362993,19.520368488099233,3,3
1,268,35.951004988759884,22.591404135277816,3,3
1,269,44.70853951686032,33.20276833367367,3,3
1,270,77.95300959249474,82.32471514584019,3,3
1,271,18.56269845415949,7.763013431628475,3,3
1,272,27.218326767345758,13.253444992714842,3,3
1,273,38.07485260794932,63.65986177620552,4,4
1,274,28.125386689149256,61.0799591758696,4,4
1,275,41.46067106578501,43.7640819280286,3,3
1,276,28.86484645694345,29.043596520916623,3,3
1,277,20.763685862505014,2.6791204433862563,3,3
1,278,29.57031315921341,16.82356917747275,3,3
1,279,68.1499596972446,58.799671267447636,3,3
1,280,82.3245891371907,73.46856513501692,3,3
1,281,55.043119303778894,70.66178450368464,4,4
1,282,68.4955288295718,nan,4,0
1,283,25.28519457754539,24.322199085066696,3,3
1,284,22.253143361016207,21.334273749838307,3,3
1,285,17.268988494169555,9.484555456323866,3,3
1,286,46.149368864173255,36.437901055680975,3,3
1,287,36.197448198494364,25.64716907217763,3,3
1,288,66.61642448654999,58.00508306401598,3,3
1,289,49.25041923710261,65.69372631795481,4,4
1,290,44.212130688009616,63.316747519223696,4,4
1,291,37.83696026586364,61.37846674892726,4,4
1,292,58.72186934339207,63.46205848224367,3,3
1,293,30.40696707387092,19.8905659493079,3,3
1,294,52.48479483333402,67.16693851564311,4,4
1,295,27.44548424532326,58.10694152147754,4,4
1,296,39.5852018064644,43.52865270684742,3,3
1,297,23.90990386763358,27.067591264387254,3,3
1,298,19.042768765970454,20.225023799697844,3,3
1,299,16.150147728426447,7.568027140527483,3,3
1,300,42.57300333611095,34.011556305572576,3,3
1,301,72.9789341259199,78.5736648759996,4,4
1,302,45.37667641268263,62.36495357937391,4,4
1,303,88.47777601073243,85.36038451292086,5,5
1,304,34.62970039987683,39.51606710778845,3,3
1,305,28.118099253331874,32.242415738976035,3,3
1,306,13.633293911826202,10.405013435865103,3,3
1,307,79.00646995166278,71.3640175481684,3,3
1,308,33.89924953949891,58.50430528204743,4,4
1,309,29.81046545621128,55.95359707770499,4,4
1,310,88.60423541541644,86.34562002769907,5,5
1,311,46.23654045062356,52.13462175980273,3,3
1,312,16.246971821233828,18.05174084645015,3,3
1,313,13.299303947250282,8.103194985186038,3,3
1,314,30.26560291291666,22.65286263194529,3,3
1,315,45.62359068467119,37.82039716659879,3,3
1,316,88.20316127234662,nan,4,0
1,317,14.030823319291304,54.15007537615768,4,4
1,318,18.475576659629194,12.041918723612868,3,3
1,319,38.993113360544214,58.21188798164174,4,4
1,320,5.7359469898074185,53.865811558513464,4,4
1,321,54.7689385710201,99.60529122962555,2,2
